Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (C)
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,62%,7.56,178.0,1649.0,3773.0,9.28,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,64%,8.15,191.0,1723.0,3860.0,9.01,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,66%,8.75,205.0,1806.0,3946.0,8.8,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,68%,9.32,219.0,1885.0,4028.0,8.62,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,70%,9.95,234.0,1965.0,4118.0,8.41,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,72%,10.64,250.0,2049.0,4196.0,8.21,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,74%,11.27,264.0,2125.0,4279.0,8.04,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,76%,11.97,280.0,2206.0,4347.0,7.86,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,78%,12.68,297.0,2283.0,4427.0,7.68,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,80%,13.38,313.0,2364.0,4509.0,7.55,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,90%,17.38,405.0,2776.0,4855.0,6.86,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,100%,23.1,535.0,3224.0,5261.0,6.02,81.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,40%,4.07,97.0,1079.0,3079.0,11.15,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,42%,4.54,108.0,1162.0,3187.0,10.8,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,44%,4.95,117.0,1232.0,3282.0,10.49,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,46%,5.47,129.0,1314.0,3382.0,10.15,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,48%,5.96,141.0,1390.0,3478.0,9.87,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,50%,6.55,155.0,1477.0,3578.0,9.55,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,52%,7.11,168.0,1553.0,3675.0,9.25,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,54%,7.54,178.0,1622.0,3748.0,9.11,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,56%,8.22,194.0,1706.0,3848.0,8.81,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,58%,8.82,208.0,1786.0,3944.0,8.6,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,60%,9.46,222.0,1862.0,4030.0,8.38,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,62%,10.21,240.0,1958.0,4116.0,8.17,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,64%,10.95,257.0,2035.0,4205.0,7.93,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,66%,11.69,274.0,2123.0,4287.0,7.76,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,68%,12.46,291.0,2216.0,4365.0,7.61,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,70%,13.24,309.0,2300.0,4442.0,7.44,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,72%,14.16,330.0,2394.0,4529.0,7.25,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,74%,15.03,350.0,2483.0,4612.0,7.09,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,76%,15.95,371.0,2564.0,4687.0,6.9,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,78%,16.91,393.0,2659.0,4763.0,6.76,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,80%,17.85,415.0,2745.0,4835.0,6.62,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,90%,23.17,537.0,3187.0,5174.0,5.93,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P18*6.1,100%,30.73,708.0,3634.0,5509.0,5.13,102.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,40%,3.07,73.0,786.0,3748.0,10.73,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,42%,3.39,81.0,845.0,3884.0,10.45,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,44%,3.69,88.0,901.0,4015.0,10.23,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,46%,4.08,97.0,962.0,4149.0,9.9,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,48%,4.54,108.0,1034.0,4289.0,9.56,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,50%,4.85,116.0,1091.0,4409.0,9.45,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,52%,5.31,126.0,1163.0,4547.0,9.2,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,54%,5.79,138.0,1235.0,4680.0,8.96,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,56%,6.27,149.0,1309.0,4817.0,8.78,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,58%,6.79,161.0,1381.0,4948.0,8.56,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,60%,7.42,176.0,1472.0,5083.0,8.35,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,62%,7.92,188.0,1535.0,5197.0,8.17,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,64%,8.53,202.0,1611.0,5330.0,7.96,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,66%,9.15,217.0,1688.0,5461.0,7.78,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,68%,9.79,232.0,1760.0,5585.0,7.59,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,70%,10.48,248.0,1847.0,5711.0,7.44,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,72%,11.2,265.0,1929.0,5831.0,7.28,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,74%,11.94,282.0,2012.0,5948.0,7.12,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,76%,12.75,301.0,2101.0,6067.0,6.97,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,78%,14.01,331.0,2220.0,6245.0,6.71,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,80%,14.9,352.0,2323.0,6362.0,6.61,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,90%,19.44,458.0,2746.0,6904.0,6.0,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P15*5,100%,26.14,612.0,3293.0,7529.0,5.38,74.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,40%,3.89,94.0,979.0,3695.0,10.45,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,42%,4.13,99.0,1019.0,3833.0,10.25,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,44%,4.56,110.0,1089.0,3959.0,9.93,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,46%,5.04,121.0,1164.0,4087.0,9.61,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,48%,5.54,133.0,1248.0,4217.0,9.39,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,50%,5.99,144.0,1324.0,4325.0,9.2,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,52%,6.57,158.0,1410.0,4456.0,8.95,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,54%,7.23,173.0,1509.0,4594.0,8.7,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,56%,7.79,187.0,1592.0,4713.0,8.53,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,58%,8.53,204.0,1685.0,4839.0,8.26,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,60%,9.29,222.0,1789.0,4956.0,8.06,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,62%,10.02,239.0,1879.0,5082.0,7.84,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,64%,10.78,257.0,1985.0,5180.0,7.71,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,66%,11.63,277.0,2084.0,5303.0,7.51,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,68%,12.33,294.0,2156.0,5432.0,7.33,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,70%,13.17,314.0,2242.0,5547.0,7.14,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,72%,14.05,335.0,2326.0,5665.0,6.95,103.0
MN4110 UAV / Drone Motor - Only 152g 12N14P,24.0,P16*5.4,74%,15.01,358.0,2437.0,5766.0,6.81,103.0
